state,district,level,name,type,total_population,total_population_males,total_population_females,population_06,population_literate,population_illiterate,total_workers,total_workers_males,total_workers_females,non_workers
18,323,district,nalbari,urban,82730,42329,40401,7574,67560,15170,27134,22588,4546,55596
28,539,district,nalgonda,total,3488809,1759772,1729037,371735,2001019,1487790,1741693,976428,765265,1747116
28,539,district,nalgonda,rural,2826302,1427716,1398586,303536,1515547,1310755,1496496,803377,693119,1329806
28,539,district,nalgonda,urban,662507,332056,330451,68199,485472,177035,245197,173051,72146,417310
33,609,district,namakkal,total,1726601,869280,857321,150699,1176131,550470,898245,531463,366782,828356
33,609,district,namakkal,rural,1030476,520684,509792,88858,671793,358683,566406,315347,251059,464070
33,609,district,namakkal,urban,696125,348596,347529,61841,504338,191787,331839,216116,115723,364286
27,511,district,nanded,total,3361292,1730075,1631217,459572,2189425,1171867,1493953,925232,568721,1867339
27,511,district,nanded,rural,2447394,1258160,1189234,341023,1529317,918077,1200724,695134,505590,1246670
27,511,district,nanded,urban,913898,471915,441983,118549,660108,253790,293229,230098,63131,620669
27,497,district,nandurbar,total,1648295,833170,815125,240222,906509,741786,792065,442898,349167,856230
27,497,district,nandurbar,rural,1372821,687671,685150,207516,696260,676561,701564,373629,327935,671257
27,497,district,nandurbar,urban,275474,145499,129975,32706,210249,65225,90501,69269,21232,184973
22,415,district,narayanpur,total,139820,70104,69716,23358,56621,83199,71089,38186,32903,68731
22,415,district,narayanpur,rural,117714,58653,59061,20823,40467,77247,62630,32271,30359,55084
22,415,district,narayanpur,urban,22106,11451,10655,2535,16154,5952,8459,5915,2544,13647
24,487,district,narmada,total,590297,301086,289211,78123,370336,219961,294795,174282,120513,295502
24,487,district,narmada,rural,528425,269408,259017,71877,321677,206748,273713,157913,115800,254712
24,487,district,narmada,urban,61872,31678,30194,6246,48659,13213,21082,16369,4713,40790
23,452,district,narsimhapur,total,1091854,568810,523044,142250,718785,373069,477818,323464,154354,614036
23,452,district,narsimhapur,rural,888314,462699,425615,119361,562087,326227,407309,267382,139927,481005
23,452,district,narsimhapur,urban,203540,106111,97429,22889,156698,46842,70509,56082,14427,133031
27,516,district,nashik,total,6107187,3157186,2950001,827935,4345366,1761821,2763328,1746286,1017042,3343859
27,516,district,nashik,rural,3509814,1804712,1705102,496060,2326432,1183382,1861358,1025015,836343,1648456
27,516,district,nashik,urban,2597373,1352474,1244899,331875,2018934,578439,901970,721271,180699,1695403
24,490,district,navsari,total,1329672,678165,651507,135170,1001909,327763,591834,407881,183953,737838
24,490,district,navsari,rural,920535,464749,455786,92466,676083,244452,436904,283625,153279,483631
24,490,district,navsari,urban,409137,213416,195721,42704,325826,83311,154930,124256,30674,254207
10,237,district,nawada,total,2219146,1144668,1074478,393547,1091012,1128134,817041,539439,277602,1402105
10,237,district,nawada,rural,2003567,1031656,971911,360402,954092,1049475,755371,490365,265006,1248196
10,237,district,nawada,urban,215579,113012,102567,33145,136920,78659,61670,49074,12596,153909
21,385,district,nayagarh,total,962789,502636,460153,106871,688362,274427,343633,284591,59042,619156
21,385,district,nayagarh,rural,883051,461019,422032,98936,625345,257706,318229,262703,55526,564822
21,385,district,nayagarh,urban,79738,41617,38121,7935,63017,16721,25404,21888,3516,54334
23,432,district,neemuch,total,826067,422653,403414,107384,508834,317233,418682,245708,172974,407385
23,432,district,neemuch,rural,580837,295013,285824,78184,330646,250191,323101,174667,148434,257736
23,432,district,neemuch,urban,245230,127640,117590,29200,178188,67042,95581,71041,24540,149649
7,94,district,newdelhi,total,142004,77942,64062,12760,114179,27825,59541,46940,12601,82463
7,94,district,newdelhi,rural,0,0,0,0,0,0,0,0,0,0
7,94,district,newdelhi,urban,142004,77942,64062,12760,114179,27825,59541,46940,12601,82463
35,638,district,nicobars,total,36842,20727,16115,4389,25332,11510,17125,12714,4411,19717
35,638,district,nicobars,rural,36842,20727,16115,4389,25332,11510,17125,12714,4411,19717
35,638,district,nicobars,urban,0,0,0,0,0,0,0,0,0,0
28,533,district,nizamabad,total,2551335,1250641,1300694,282417,1389810,1161525,1261076,684320,576756,1290259
28,533,district,nizamabad,rural,1962963,958837,1004126,214946,987594,975369,1039986,533617,506369,922977
28,533,district,nizamabad,urban,588372,291804,296568,67471,402216,186156,221090,150703,70387,367282
7,91,district,north,total,887978,475002,412976,103304,681517,206461,296446,257575,38871,591532
7,91,district,north,rural,17746,9546,8200,2391,13240,4506,5278,4648,630,12468
7,91,district,north,urban,870232,465456,404776,100913,668277,201955,291168,252927,38241,579064
11,241,district,northdistrict,total,43709,24730,18979,4677,30450,13259,23359,15935,7424,20350
11,241,district,northdistrict,rural,39065,22274,16791,4092,27048,12017,21612,14677,6935,17453
11,241,district,northdistrict,urban,4644,2456,2188,585,3402,1242,1747,1258,489,2897
7,92,district,northeast,total,2241624,1188425,1053199,301947,1611588,630036,661386,594353,67033,1580238
7,92,district,northeast,rural,21527,11718,9809,3386,14465,7062,5988,5528,460,15539
7,92,district,northeast,urban,2220097,1176707,1043390,298561,1597123,622974,655398,588825,66573,1564699
30,585,district,northgoa,total,818008,416677,401331,77705,663060,154948,327658,239125,88533,490350
30,585,district,northgoa,rural,324927,163908,161019,30735,258627,66300,126556,92039,34517,198371
30,585,district,northgoa,urban,493081,252769,240312,46970,404433,88648,201102,147086,54016,291979
35,639,district,northmiddleandaman,total,105597,54861,50736,11828,78683,26914,38579,30612,7967,67018
35,639,district,northmiddleandaman,rural,102856,53457,49399,11579,76621,26235,37545,29824,7721,65311
35,639,district,northmiddleandaman,urban,2741,1404,1337,249,2062,679,1034,788,246,1707
16,292,district,northtripura,total,693947,352860,341087,99204,520402,173545,248667,186034,62633,445280
16,292,district,northtripura,rural,573662,291893,281769,86485,419067,154595,207125,152523,54602,366537
16,292,district,northtripura,urban,120285,60967,59318,12719,101335,18950,41542,33511,8031,78743
19,337,district,northtwentyfourparganas,total,10009781,5119389,4890392,957973,7608693,2401088,3571624,2945189,626435,6438157
19,337,district,northtwentyfourparganas,rural,4277619,2196554,2081065,491418,2929366,1348253,1558126,1292793,265333,2719493
19,337,district,northtwentyfourparganas,urban,5732162,2922835,2809327,466555,4679327,1052835,2013498,1652396,361102,3718664
7,90,district,northwest,total,3656539,1960922,1695617,449894,2707855,948684,1188545,1022419,166126,2467994
7,90,district,northwest,rural,213950,115680,98270,28936,147327,66623,67492,57216,10276,146458
7,90,district,northwest,urban,3442589,1845242,1597347,420958,2560528,882061,1121053,965203,155850,2321536
21,394,district,nuapada,total,610382,301962,308420,88344,299383,310999,305438,168155,137283,304944
21,394,district,nuapada,rural,576328,284792,291536,84066,275864,300464,292882,158678,134204,283446
21,394,district,nuapada,urban,34054,17170,16884,4278,23519,10535,12556,9477,3079,21498
21,0,state,odisha,total,41974218,21212136,20762082,5273194,26742595,15231623,17541589,11902655,5638934,24432629
21,0,state,odisha,rural,34970562,17586203,17384359,4525870,21377915,13592647,15103714,9941574,5162140,19866848
21,0,state,odisha,urban,7003656,3625933,3377723,747324,5364680,1638976,2437875,1961081,476794,4565781
27,525,district,osmanabad,total,1657576,861535,796041,207096,1137810,519766,773916,473795,300121,883660
27,525,district,osmanabad,rural,1376519,716237,660282,171560,926022,450497,683388,404465,278923,693131
27,525,district,osmanabad,urban,281057,145298,135759,35536,211788,69269,90528,69330,21198,190529
20,353,district,pakur,total,900422,452661,447761,177623,352881,547541,404584,234012,170572,495838
20,353,district,pakur,rural,832910,418251,414659,166244,315553,517357,380738,217980,162758,452172
20,353,district,pakur,urban,67512,34410,33102,11379,37328,30184,23846,16032,7814,43666
32,593,district,palakkad,total,2809934,1359478,1450456,302297,2239492,570442,1042340,746121,296219,1767594
32,593,district,palakkad,rural,2133124,1031466,1101658,231892,1678895,454229,806903,569570,237333,1326221
32,593,district,palakkad,urban,676810,328012,348798,70405,560597,116213,235437,176551,58886,441373
20,358,district,palamu,total,1939869,1006302,933567,329728,1024563,915306,713175,473042,240133,1226694
20,358,district,palamu,rural,1713866,887551,826315,298338,867814,846052,648731,420227,228504,1065135
20,358,district,palamu,urban,226003,118751,107252,31390,156749,69254,64444,52815,11629,161559
8,118,district,pali,total,2037573,1025422,1012151,297434,1085693,951880,842327,523077,319250,1195246
8,118,district,pali,rural,1577567,787559,790008,235532,783788,793779,692423,400286,292137,885144
8,118,district,pali,urban,460006,237863,222143,61902,301905,158101,149904,122791,27113,310102
6,89,district,palwal,total,1042708,554497,488211,177494,599796,442912,309563,241464,68099,733145
6,89,district,palwal,rural,806164,428907,377257,143766,441985,364179,242228,184656,57572,563936
6,89,district,palwal,urban,236544,125590,110954,33728,157811,78733,67335,56808,10527,169209
6,69,district,panchkula,total,561293,299679,261614,66302,405318,155975,211479,164865,46614,349814
6,69,district,panchkula,rural,248063,133153,114910,32010,163427,84636,94727,73957,20770,153336
6,69,district,panchkula,urban,313230,166526,146704,34292,241891,71339,116752,90908,25844,196478
24,484,district,panchmahals,total,2390776,1226961,1163815,361311,1440805,949971,1097507,673565,423942,1293269
24,484,district,panchmahals,rural,2055949,1053376,1002573,318429,1187834,868115,993178,584580,408598,1062771
24,484,district,panchmahals,urban,334827,173585,161242,42882,252971,81856,104329,88985,15344,230498
6,75,district,panipat,total,1205437,646857,558580,169662,786599,418838,412318,328667,83651,793119
6,75,district,panipat,rural,650352,349642,300710,94584,402944,247408,221931,172607,49324,428421
6,75,district,panipat,urban,555085,297215,257870,75078,383655,171430,190387,156060,34327,364698
23,426,district,panna,total,1016520,533480,483040,163620,552559,463961,431998,275375,156623,584522
23,426,district,panna,rural,891185,467473,423712,147739,465466,425719,390497,243351,147146,500688
23,426,district,panna,urban,125335,66007,59328,15881,87093,38242,41501,32024,9477,83834
12,248,district,papumpare,total,176573,89182,87391,25170,121048,55525,65772,41263,24509,110801
12,248,district,papumpare,rural,79610,39935,39675,12525,49601,30009,29834,17723,12111,49776
12,248,district,papumpare,urban,96963,49247,47716,12645,71447,25516,35938,23540,12398,61025
27,513,district,parbhani,total,1836086,942870,893216,257320,1157814,678272,822797,501422,321375,1013289
27,513,district,parbhani,rural,1266280,651886,614394,179962,763448,502832,644137,361671,282466,622143
27,513,district,parbhani,urban,569806,290984,278822,77358,394366,175440,178660,139751,38909,391146
19,344,district,paschimmedinipur,total,5913457,3007885,2905572,685012,4078412,1835045,2509159,1757358,751801,3404298
19,344,district,paschimmedinipur,rural,5190771,2641721,2549050,616836,3515817,1674954,2257799,1557586,700213,2932972
19,344,district,paschimmedinipur,urban,722686,366164,356522,68176,562595,160091,251360,199772,51588,471326
10,203,district,pashchimchamparan,total,3935042,2061110,1873932,776031,1759481,2175561,1478947,999282,479665,2456095
10,203,district,pashchimchamparan,rural,3541877,1853809,1688068,712017,1525404,2016473,1367078,904942,462136,2174799
10,203,district,pashchimchamparan,urban,393165,207301,185864,64014,234077,159088,111869,94340,17529,281296
20,368,district,pashchimisinghbhum,total,1502338,749385,752953,261493,727561,774777,694863,392690,302173,807475
20,368,district,pashchimisinghbhum,rural,1284304,637657,646647,234093,570404,713900,626453,337542,288911,657851
20,368,district,pashchimisinghbhum,urban,218034,111728,106306,27400,157157,60877,68410,55148,13262,149624
24,470,district,patan,total,1343734,694397,649337,184779,837913,505821,554830,383074,171756,788904
24,470,district,patan,rural,1062653,548324,514329,153011,630617,432036,462109,304707,157402,600544
24,470,district,patan,urban,281081,146073,135008,31768,207296,73785,92721,78367,14354,188360
32,599,district,pathanamthitta,total,1197412,561716,635696,96837,1062553,134859,392794,281854,110940,804618
32,599,district,pathanamthitta,rural,1065799,499820,565979,86181,945351,120448,351835,252352,99483,713964
32,599,district,pathanamthitta,urban,131613,61896,69717,10656,117202,14411,40959,29502,11457,90654
3,48,district,patiala,total,1895686,1002522,893164,212892,1266791,628895,660267,549661,110606,1235419
3,48,district,patiala,rural,1132406,598800,533606,134494,688838,443568,387299,329847,57452,745107
3,48,district,patiala,urban,763280,403722,359558,78398,577953,185327,272968,219814,53154,490312
10,230,district,patna,total,5838465,3078512,2759953,943552,3459679,2378786,1881886,1436411,445475,3956579
10,230,district,patna,rural,3323875,1746025,1577850,613960,1690372,1633503,1139308,822310,316998,2184567
10,230,district,patna,urban,2514590,1332487,1182103,329592,1769307,745283,742578,614101,128477,1772012
33,615,district,perambalur,total,565223,282157,283066,59567,375823,189400,299726,162639,137087,265497
33,615,district,perambalur,rural,468060,233926,234134,49368,301716,166344,258834,135614,123220,209226
33,615,district,perambalur,urban,97163,48231,48932,10199,74107,23056,40892,27025,13867,56271
13,271,district,peren,total,95219,49714,45505,15415,62204,33015,61390,32249,29141,33829
13,271,district,peren,rural,81429,42860,38569,13137,52355,29074,52241,27636,24605,29188
13,271,district,peren,urban,13790,6854,6936,2278,9849,3941,9149,4613,4536,4641
13,266,district,phek,total,163418,83743,79675,27752,105893,57525,80277,41556,38721,83141
13,266,district,phek,rural,138843,70529,68314,24310,87233,51610,70745,35416,35329,68098
13,266,district,phek,urban,24575,13214,11361,3442,18660,5915,9532,6140,3392,15043
9,151,district,pilibhit,total,2031007,1072002,959005,304920,1061095,969912,618605,534939,83666,1412402
9,151,district,pilibhit,rural,1679592,886789,792803,260750,861548,818044,513687,444194,69493,1165905
9,151,district,pilibhit,urban,351415,185213,166202,44170,199547,151868,104918,90745,14173,246497
5,62,district,pithoragarh,total,483439,239306,244133,63293,345550,137889,216490,113539,102951,266949
5,62,district,pithoragarh,rural,413834,202930,210904,54900,289256,124578,196459,98024,98435,217375
5,62,district,pithoragarh,urban,69605,36376,33229,8393,56294,13311,20031,15515,4516,49574
24,478,district,porbandar,total,585449,300209,285240,65926,393678,191771,231169,174118,57051,354280
24,478,district,porbandar,rural,299775,153260,146515,35786,183193,116582,132510,91102,41408,167265
24,478,district,porbandar,urban,285674,146949,138725,30140,210485,75189,98659,83016,15643,187015
28,549,district,prakasam,total,3397448,1714764,1682684,378261,1904435,1493013,1700567,991842,708725,1696881
28,549,district,prakasam,rural,2732866,1382641,1350225,311074,1435913,1296953,1454542,810362,644180,1278324
28,549,district,prakasam,urban,664582,332123,332459,67187,468522,196060,246025,181480,64545,418557
8,131,district,pratapgarh,total,867848,437744,430104,150518,401515,466333,481294,251691,229603,386554
